Time,VV
"Jan 29, 2019",-8.095
"Feb 10, 2019",-6.613
"Feb 16, 2019",-6.745
"Feb 22, 2019",-7.495
"Feb 28, 2019",-6.975
"Mar 6, 2019",-9.704
"Mar 12, 2019",-8.022
"Mar 18, 2019",-7.448
"Mar 24, 2019",-7.822
"Mar 30, 2019",-9.338
"Apr 5, 2019",-7.215
"Apr 11, 2019",-10.687
"Apr 23, 2019",-7.893
"Apr 29, 2019",-10.59
"May 5, 2019",-9.445
"May 11, 2019",-11.566
"May 17, 2019",-9.163
"May 23, 2019",-12.358
"May 29, 2019",-12.593
"Jun 4, 2019",-13.224
"Jun 10, 2019",-12.08
"Jun 16, 2019",-14.368
"Jun 22, 2019",-13.524
"Jul 4, 2019",-14.459
"Jul 16, 2019",-15.498
"Jul 28, 2019",-12.59
"Aug 9, 2019",-14.721
"Aug 15, 2019",-15.895
"Aug 21, 2019",-16.11
"Aug 27, 2019",-15.972
"Sep 2, 2019",-15.08
"Sep 8, 2019",-10.119
"Sep 14, 2019",-10.344
"Sep 20, 2019",-12.872
"Sep 26, 2019",-15.326
"Oct 2, 2019",-11.532
"Oct 8, 2019",-12.142
"Oct 14, 2019",-15.033
"Oct 20, 2019",-7.934
"Oct 26, 2019",-13.975
"Nov 1, 2019",-14.6
"Nov 7, 2019",-13.144
"Nov 13, 2019",-8.088
"Nov 19, 2019",-13.511
"Nov 25, 2019",-8.731
"Dec 1, 2019",-12.74
"Dec 7, 2019",-7.41
"Dec 13, 2019",-9.301
"Dec 19, 2019",-9.351
"Dec 25, 2019",-12.262
"Dec 31, 2019",-8.509
"Jan 6, 2020",-8.147
"Jan 12, 2020",-8.942
"Jan 18, 2020",-11.768
"Jan 24, 2020",-11.702
"Jan 30, 2020",-9.927
"Feb 5, 2020",-7.791
"Feb 11, 2020",-8.285
"Feb 17, 2020",-7.996
"Feb 23, 2020",-8.186
"Feb 29, 2020",-8.336
"Mar 6, 2020",-9.165
"Mar 12, 2020",-9.871
"Mar 18, 2020",-8.93
"Mar 24, 2020",-9.235
"Mar 30, 2020",-9.174
"Apr 5, 2020",-8.777
"Apr 11, 2020",-11.288
"Apr 17, 2020",-10.148
"Apr 23, 2020",-10.716
"Apr 29, 2020",-12.908
"May 5, 2020",-13.79
"May 11, 2020",-13.693
"May 17, 2020",-13.431
"May 23, 2020",-14.734
"Jun 4, 2020",-15.386
"Jun 10, 2020",-14.753
"Jun 16, 2020",-15.642
"Jun 22, 2020",-14.726
"Jun 28, 2020",-15.18
"Jul 4, 2020",-14.515
"Jul 10, 2020",-14.546
"Jul 16, 2020",-14.39
"Jul 22, 2020",-14.626
"Jul 28, 2020",-14.114
"Aug 3, 2020",-14.34
"Aug 9, 2020",-13.893
"Aug 15, 2020",-15.203
"Aug 21, 2020",-14.765
"Aug 27, 2020",-14.544
"Sep 2, 2020",-14.943
"Sep 8, 2020",-12.327
"Sep 14, 2020",-15.281
"Sep 20, 2020",-13.584
"Sep 26, 2020",-15.333
"Oct 2, 2020",-11.819
"Oct 8, 2020",-14.6
"Oct 14, 2020",-15.123
"Oct 20, 2020",-12.592
"Oct 26, 2020",-13.135
"Nov 1, 2020",-14.715
"Nov 7, 2020",-14.816
"Nov 13, 2020",-14.342
"Nov 19, 2020",-14.944
"Nov 25, 2020",-13.96
"Dec 1, 2020",-10.419
"Dec 7, 2020",-9.311
"Dec 13, 2020",-13.355
"Dec 19, 2020",-6.81
"Dec 25, 2020",-13.702
"Dec 31, 2020",-9.341
"Jan 6, 2021",-9.011
"Jan 12, 2021",-9.428
"Jan 18, 2021",-7.587
"Jan 24, 2021",-9.332
"Jan 30, 2021",-11.491
"Feb 5, 2021",-7.253
"Feb 11, 2021",-9.71
"Feb 17, 2021",-7.905
"Feb 23, 2021",-10.778
"Mar 1, 2021",-10.223
"Mar 7, 2021",-7.344
"Mar 13, 2021",-8.743
"Mar 19, 2021",-8.744
"Mar 25, 2021",-11.227
"Mar 31, 2021",-7.291
"Apr 6, 2021",-7.186
"Apr 12, 2021",-8.964
"Apr 18, 2021",-10.644
"Apr 24, 2021",-13.087
"Apr 30, 2021",-12.232
"May 6, 2021",-13.496
"May 12, 2021",-13.292
"May 18, 2021",-13.288
"May 24, 2021",-13.347
"May 30, 2021",-13.647
"Jun 5, 2021",-12.279
"Jun 11, 2021",-13.424
"Jun 17, 2021",-13.858
"Jun 23, 2021",-13.939
"Jun 29, 2021",-14.228
"Jul 5, 2021",-14.959
"Jul 11, 2021",-15.07
"Jul 17, 2021",-14.547
"Jul 23, 2021",-14.723
"Jul 29, 2021",-14.839
"Aug 4, 2021",-15.403
"Aug 10, 2021",-14.753
"Aug 16, 2021",-14.574
"Aug 22, 2021",-14.397
"Aug 28, 2021",-14.714
"Sep 3, 2021",-14.885
"Sep 9, 2021",-14.346
"Sep 15, 2021",-12.501
"Sep 21, 2021",-12.549
"Sep 27, 2021",-11.811
"Oct 3, 2021",-14.404
"Oct 9, 2021",-10.256
"Oct 15, 2021",-12.06
"Oct 21, 2021",-14.608
"Oct 27, 2021",-14.89
"Nov 2, 2021",-11.867
"Nov 8, 2021",-15.398
"Nov 14, 2021",-12.905
"Nov 20, 2021",-13.877
"Nov 26, 2021",-8.323
"Dec 2, 2021",-8.416
"Dec 8, 2021",-8.345
"Dec 14, 2021",-8.74
"Dec 20, 2021",-7.556
"Jan 1, 2022",-8.273
"Jan 13, 2022",-10.958
"Jan 25, 2022",-8.496
"Feb 6, 2022",-7.625
"Feb 18, 2022",-7.453
"Mar 2, 2022",-9.008
"Mar 14, 2022",-7.665
"Mar 26, 2022",-8.405
"Apr 7, 2022",-8.141
"Apr 19, 2022",-12.132
"May 1, 2022",-10.06
"May 25, 2022",-13.609
"Jun 6, 2022",-13.462
"Jun 18, 2022",-14.215
"Jun 30, 2022",-14.444
"Jul 12, 2022",-13.822
"Jul 24, 2022",-14.122
"Aug 5, 2022",-13.686
"Aug 17, 2022",-13.747
"Aug 29, 2022",-14.291
"Sep 10, 2022",-13.744
"Sep 22, 2022",-13.494
"Oct 4, 2022",-14.01
"Oct 16, 2022",-13.275
"Oct 28, 2022",-13.77
"Nov 9, 2022",-13.968
"Nov 21, 2022",-14.271
"Dec 3, 2022",-13.687
"Dec 15, 2022",-8.827
"Dec 27, 2022",-12.449
"Jan 8, 2023",-9.969
"Jan 20, 2023",-12.025
